Restaurant ID,City,Country,Latitude,Longitude,region_cluster
17342772,Dubuque,United States,42.492018,-90.715247,1
17342771,Dubuque,United States,42.49092,-90.740213,1
17342548,Dubuque,United States,42.4955,-90.7264,1
17342556,Dubuque,United States,42.516621,-90.645294,1
17342811,Dubuque,United States,42.492963,-90.712084,1
17342576,Dubuque,United States,42.5043,-90.6646,1
17342770,Dubuque,United States,42.503075,-90.668164,1
17342585,Dubuque,United States,42.4916,-90.7055,1
17342494,Dubuque,United States,42.500191,-90.6677349,1
17342594,Dubuque,United States,42.5048,-90.6691,1
17342625,Dubuque,United States,42.4974,-90.6651,1
17342652,Dubuque,United States,42.4963,-90.6658,1
17342665,Dubuque,United States,42.4982789,-90.663686,1
17342810,Dubuque,United States,42.527556,-90.684882,1
17342775,Dubuque,United States,42.496378,-90.658988,1
16612028,East Ballina,Australia,-28.862663,153.593331,3
17536645,Fernley,United States,39.607515,-119.252694,1
16613507,Flaxton,Australia,-26.6521332,152.8771473,3
16607969,Forrest,Australia,-38.517292,143.714315,3
17374405,Gainesville,United States,34.0901,-83.8461,1
17375060,Gainesville,United States,34.61802,-83.520693,1
17375164,Gainesville,United States,34.532973,-83.985353,1
17374552,Gainesville,United States,34.5318,-83.9858,1
17375078,Gainesville,United States,34.533626,-83.983939,1
17375049,Gainesville,United States,34.541044,-83.989317,1
17375077,Gainesville,United States,34.533198,-83.986119,1
17375141,Gainesville,United States,34.183573,-83.938024,1
17375198,Gainesville,United States,34.185707,-83.926217,1
17375180,Gainesville,United States,34.180043,-83.927794,1
17375072,Gainesville,United States,34.285102,-83.838457,1
17375047,Gainesville,United States,34.300182,-83.857993,1
17375074,Gainesville,United States,34.222755,-83.860098,1
17374921,Gainesville,United States,34.300567,-83.824023,1
17374819,Gainesville,United States,34.3166,-83.8272,1
17375089,Gainesville,United States,34.300332,-83.82686,1
17375214,Gainesville,United States,34.701594,-83.727741,1
17374951,Gainesville,United States,34.7024,-83.7345,1
17374978,Gainesville,United States,34.7021,-83.7334,1
17375104,Gainesville,United States,34.691208,-83.713498,1
16604358,Hepburn Springs,Australia,-37.3123267,144.1387014,3
16604896,Hepburn Springs,Australia,-37.275494,144.110062,3
16612550,Huskisson,Australia,-35.0388698,150.6710743,3
16606299,Inverloch,Australia,-38.6347458,145.7287133,3
16605794,Lakes Entrance,Australia,-37.8783865,147.9942247,3
17557488,Lakeview,United States,42.1885,-120.3458,1
17452342,Lincoln,United States,40.8143,-96.7072,1
16611498,Lorn,Australia,-32.728097,151.558475,3
17842104,Macedon,Australia,-37.423189,144.564174,3
